topic_seq,mapping_version,axis_code,scope_code,app_domain_code,has_state_administration_frame,coding_status,selection_status,exclusion_reason_code,coded_by,coded_at,notes
107,pragma_hsk_topic_mapping_legacy_v1,subject,topic,,false,legacy_imported_unverified,unreviewed,,,,
108,pragma_hsk_topic_mapping_legacy_v1,subject,topic,,false,legacy_imported_unverified,unreviewed,,,,
109,pragma_hsk_topic_mapping_legacy_v1,subject,topic,,false,legacy_imported_unverified,unreviewed,,,,
110,pragma_hsk_topic_mapping_legacy_v1,subject,topic,,false,legacy_imported_unverified,unreviewed,,,,
111,pragma_hsk_topic_mapping_legacy_v1,subject,topic,,false,legacy_imported_unverified,unreviewed,,,,
112,pragma_hsk_topic_mapping_legacy_v1,subject,topic,,false,legacy_imported_unverified,unreviewed,,,,
113,pragma_hsk_topic_mapping_legacy_v1,subject,topic,,false,legacy_imported_unverified,unreviewed,,,,
114,pragma_hsk_topic_mapping_legacy_v1,subject,topic,,false,legacy_imported_unverified,unreviewed,,,,
115,pragma_hsk_topic_mapping_legacy_v1,subject,topic,,false,legacy_imported_unverified,unreviewed,,,,
116,pragma_hsk_topic_mapping_legacy_v1,subject,topic,,false,legacy_imported_unverified,unreviewed,,,,
117,pragma_hsk_topic_mapping_legacy_v1,subject,topic,,false,legacy_imported_unverified,unreviewed,,,,
118,pragma_hsk_topic_mapping_legacy_v1,subject,topic,,false,legacy_imported_unverified,unreviewed,,,,
119,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
120,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
121,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
122,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
123,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
124,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
125,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
126,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
127,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
128,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
129,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
130,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
131,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
132,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
133,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
134,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
135,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
136,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
137,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
138,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
139,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
140,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
141,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
142,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
143,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
144,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
145,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,일상,false,legacy_imported_unverified,unreviewed,,,,
146,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,학교,false,legacy_imported_unverified,unreviewed,,,,
147,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,학교,false,legacy_imported_unverified,unreviewed,,,,
148,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,학교,false,legacy_imported_unverified,unreviewed,,,,
149,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,학교,false,legacy_imported_unverified,unreviewed,,,,
150,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,학교,false,legacy_imported_unverified,unreviewed,,,,
151,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,학교,false,legacy_imported_unverified,unreviewed,,,,
152,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,학교,false,legacy_imported_unverified,unreviewed,,,,
153,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,학교,false,legacy_imported_unverified,unreviewed,,,,
154,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,직장,false,legacy_imported_unverified,unreviewed,,,,
155,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,직장,false,legacy_imported_unverified,unreviewed,,,,
156,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,직장,false,legacy_imported_unverified,unreviewed,,,,
157,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,직장,false,legacy_imported_unverified,unreviewed,,,,
158,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,직장,false,legacy_imported_unverified,unreviewed,,,,
159,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,직장,false,legacy_imported_unverified,unreviewed,,,,
160,pragma_hsk_topic_mapping_legacy_v1,situation,scenario,직장,false,legacy_imported_unverified,unreviewed,,,,
161,pragma_hsk_topic_mapping_legacy_v1,subject,topic,,false,legacy_imported_unverified,unreviewed,,,,
162,pragma_hsk_topic_mapping_legacy_v1,subject,topic,,false,legacy_imported_unverified,unreviewed,,,,
163,pragma_hsk_topic_mapping_legacy_v1,subject,topic,,false,legacy_imported_unverified,unreviewed,,,,
164,pragma_hsk_topic_mapping_legacy_v1,subject,topic,,false,legacy_imported_unverified,unreviewed,,,,
165,pragma_hsk_topic_mapping_legacy_v1,subject,topic,,false,legacy_imported_unverified,unreviewed,,,,
166,pragma_hsk_topic_mapping_legacy_v1,subject,topic,,false,legacy_imported_unverified,unreviewed,,,,
167,pragma_hsk_topic_mapping_legacy_v1,subject,topic,,false,legacy_imported_unverified,unreviewed,,,,
